id,productType,source,name,brand,brandName,brandCode,slug,depositAmount,activityLevel,reviewsRating,reviewsTotal,reviewsSource,lowestOptionRoomType,lowestOptionPrice,lowestOptionFullPrice,fkSeasonId,fkTourOptionId,created_at,updated_at
tour-a391d8a7-ead6-4cbf-9880-2607da6f5106,connection_tour,ttc,Spectacular Scandinavia & its Fjords,insightvacations,Insight Vacations,insightvacations,spectacular-scandinavia-and-its-fjords,500.0,,0.0,0,luxuryescapes,twin,5791.5,6435.0,72941cf8-df94-4e5a-b3e2-c63e5871d349,4ea4c18e-8db0-4668-a3d0-a39a66734299,2023-09-25 11:50:24,2023-09-25 11:50:24
tour-a3c3094d-9300-4b43-b0b6-c9443dd6b03e,connection_tour,ttc,Real Britain,trafalgar,Trafalgar,trafalgar,real-britain,500.0,,10.0,2,le_tour_operator,twin,1215.0,1350.0,bbc906ac-151e-432e-a8ab-11c8f18dabb2,73f701c4-e57b-4b56-ac9e-38a80958a3fa,2023-09-25 11:50:23,2023-09-25 11:50:23
tour-a3e3b115-e115-48aa-b6c1-4e06418b902c,connection_tour,ttc,Italian Holiday,trafalgar,Trafalgar,trafalgar,italian-holiday,500.0,,10.0,2,le_tour_operator,twin,1552.5,1725.0,6c19f9d5-be1b-48af-a0d7-0cba2dabe0cc,8ca8e751-b9ea-4793-b316-e0e258f56996,2023-09-25 11:50:20,2023-09-25 11:50:20
tour-a41d9f4f-9e6c-4510-921f-c9a5dc416741,connection_tour,ttc,Outback Adventure,trafalgar,Trafalgar,trafalgar,outback-adventure,500.0,moderate,10.0,2,le_tour_operator,twin,5681.7,6313.0,3d5f20ae-f067-4e3f-82da-0f6996a4f4e7,68c727d4-3fc7-4c6a-873e-c7007c91f1c2,2023-09-25 11:50:23,2023-09-25 11:50:23
tour-a465f7e5-a5a6-46e1-b406-94e537ad62ad,connection_tour,ttc,Treasures of Thailand,trafalgar,Trafalgar,trafalgar,treasures-of-thailand,500.0,,10.0,2,le_tour_operator,twin,3199.9,3534.0,4e7d107d-d272-4a3f-b11d-8a7720c4d467,208eeacb-c30e-43af-b6a2-e7c217f2434b,2023-09-25 11:50:20,2023-09-25 11:50:20
tour-a5011bd8-da0e-4769-b4cd-88e6199e45ca,connection_tour,ttc,Splendid Europe,insightvacations,Insight Vacations,insightvacations,splendid-europe,500.0,,0.0,0,luxuryescapes,twin,5915.0,5915.0,f8dc1bc4-abe7-423a-99d0-4493903d983f,7a8b98f3-4d7d-4c2b-9fb9-53a7ba49d65a,2023-09-25 11:50:24,2023-09-25 11:50:24
tour-a546b07f-19af-41a3-8d07-e72b9b60bb8f,direct_tour,salesforce,Ecuador & Galapagos Islands 2024 First-Class Catamaran Cruise & Small-Group Tour with Nature Excursions,luxuryescapes,Luxury Escapes Tours,luxuryescapes,ecuador-and-galapagos-islands-2024-first-class-catamaran-cruise-and-small-group-tour-with-nature-excursions,0.0,moderate,8.5,2,le_tour_operator,twin,4199.4,4199.4,7ee6d044-4840-4476-8d81-4eacc19251de,0492a6e6-db23-4c98-ad3c-1f5fa4f462f7,2023-09-25 11:50:19,2023-09-25 11:50:19
tour-a64a7c20-d441-4fe4-89dd-c370cf6a0807,direct_tour,salesforce,"Colours of Rajasthan Tour with Handpicked Accommodation, Taj Mahal Visit, Lake Cruise, Delhi Tour & Fort Khejarla Stay",luxuryescapes,Luxury Escapes Tours,luxuryescapes,colours-of-rajasthan-tour-with-handpicked-accommodation-taj-mahal-visit-lake-cruise-delhi-tour-and-fort-khejarla-stay,0.2,moderate,8.5,2,le_tour_operator,twin,1439.4,1439.4,9a6b6958-6e56-4e25-b1b3-7d302499b9f0,38ed0fa3-7268-4ace-96cd-4368e3809293,2023-09-25 11:50:18,2023-09-25 11:50:18
tour-a68d1f53-3390-4e64-890f-65f8efadb9df,partner_tour,salesforce,"Southern USA 2024 Sights & Sounds Tour with Graceland, Country Music Hall of Fame, Grand Ole Opry & Jack Daniel's Distillery",letrustedpartnertours,Luxury Escapes Trusted Partner Tours,letrustedpartnertours,southern-usa-2024-sights-and-sounds-tour-with-graceland-country-music-hall-of-fame-grand-ole-opry-and-jack-daniels-distillery,0.2,relaxed,7.0,4,le_tour_operator,twin,3239.4,3239.4,61727e4c-3726-4e6e-ad16-43aa3d69c909,cb6a409b-b015-4054-a1b8-49e151649048,2023-09-25 11:50:19,2023-09-25 11:50:19
tour-a6bcc560-94d5-4e3f-a145-6862f8800df4,connection_tour,ttc,"Treasures of Spain, Portugal & Morocco",insightvacations,Insight Vacations,insightvacations,treasures-of-spain-portugal-and-morocco,500.0,,0.0,0,luxuryescapes,twin,4350.0,4350.0,d6ef6daa-5753-4808-acf7-54aa71e517b0,d5266244-68d1-440f-afbe-394fd4ed979c,2023-09-25 11:50:25,2023-09-25 11:50:25
